tokens,vocab_size
14508241,544
14508868,545
14538251,546
14538472,547
14540197,548
14574867,549
14576217,550
14595893,551
14597239,552
14598956,553
14616587,554
14669940,555
14717783,556
14720685,557
14740288,558
14740521,559
14741453,560
14781243,561
14829088,562
14868978,563
14869164,564
14870273,565
14903777,566
14904847,567
14906405,568
14911197,569
14918082,570
14918893,571
14919724,572
14951872,573
14978675,574
15002866,575
15019971,576
15022211,577
15123458,578
15123977,579
15128131,580
15133963,581
15135313,582
15138065,583
15148591,584
15191543,585
15192958,586
15218558,587
15258417,588
15309797,589
15310534,590
15382936,591
15385894,592
15418733,593
15443948,594
15447479,595
15448566,596
15448637,597
15448638,598
15448915,599
15449687,600
15449871,601
15449873,602
15505604,603
15507416,604
15507724,605
15507726,606
15511620,607
15512762,608
15514121,609
15515480,610
15516449,611
15516929,612
15517547,613
15531328,614
15532978,615
15570623,616
15571433,617
15576671,618
15589220,619
15598457,620
15600802,621
15602226,622
15605813,623
15611174,624
15634815,625
15665582,626
15665871,627
15675215,628
15675849,629
15677389,630
15680235,631
15689485,632
15700481,633
15703109,634
15704356,635
15717525,636
15739917,637
15759545,638
15771886,639
15807863,640
15825095,641
15829477,642
15951439,643
15963399,644
16007292,645
16013190,646
16015334,647
16118746,648
16129896,649
16138214,650
16140015,651
16145395,652
16145424,653
16145449,654
16146489,655
16148458,656
16154091,657
16172173,658
16181629,659
16181743,660
16190610,661
16196218,662
16200684,663
16201850,664
16201856,665
16203300,666
16209056,667
16239439,668
16240322,669
16252099,670
16254109,671
16288540,672
16301946,673
16304190,674
16312714,675
16313961,676
16322676,677
16327798,678
16328073,679
16370344,680
16371168,681
16371722,682
16373133,683
16373233,684
16404524,685
16439119,686
16453281,687
16455755,688
16492784,689
16513707,690
16514465,691
16520958,692
16556424,693
16560958,694
16567758,695
16573831,696
16578826,697
16621304,698
16621393,699
16658460,700
16685819,701
16692698,702
16703610,703
16719428,704
16719650,705
16741997,706
16801648,707
16879619,708
16935300,709
17167706,710
17198930,711
17203313,712
17204478,713
17240983,714
17241531,715
17244427,716
17304521,717
17353321,718
17357462,719
17370443,720
17376887,721
17390442,722
17437391,723
17445787,724
17455233,725
17487595,726
17589762,727
17642257,728
17732417,729
17744322,730
17766245,731
17768531,732
17772451,733
17785235,734
17790940,735
